,SAT,GPA,PLAN,ACCEPT
0,1100.0,3.93,3.0,0.0
1,1100.0,3.93,3.0,0.0
2,1170.0,4.49,3.0,1.0
3,1170.0,4.49,3.0,1.0
4,1220.0,4.22,3.0,1.0
5,1220.0,4.22,3.0,1.0
6,1220.0,4.22,3.0,1.0
7,1240.0,3.72,3.0,1.0
8,1240.0,4.16,3.0,0.0
9,1240.0,4.23,3.0,1.0
10,1250.0,4.11,3.0,1.0
11,1270.0,4.25,3.0,1.0
12,1280.0,4.57,3.0,1.0
13,1280.0,4.21,-1.0,1.0
14,1280.0,4.39,3.0,1.0
15,1290.0,4.35,3.0,1.0
16,1280.0,4.57,3.0,1.0
17,1330.0,4.28,3.0,1.0
18,1360.0,4.34,3.0,1.0
19,1360.0,4.34,3.0,1.0
20,1360.0,4.4,3.0,1.0
21,1370.0,4.18,3.0,1.0
22,1370.0,4.18,3.0,1.0
23,1380.0,4.5,3.0,1.0
24,1420.0,4.06,3.0,1.0
25,1420.0,4.06,3.0,1.0
26,1420.0,4.06,3.0,1.0
27,1420.0,4.06,3.0,1.0
28,1550.0,4.41,3.0,0.0
29,1550.0,4.41,3.0,0.0
