,SAT,GPA,PLAN,ACCEPT
0,1260.0,4.54,3.0,1.0
1,1260.0,4.54,3.0,1.0
2,1050.0,3.74,2.0,1.0
3,1050.0,3.74,2.0,1.0
4,1050.0,3.74,2.0,1.0
5,1050.0,3.74,2.0,1.0
6,1110.0,3.82,3.0,1.0
7,1100.0,3.38,2.0,1.0
8,1110.0,3.82,3.0,1.0
9,1110.0,3.82,3.0,1.0
10,1110.0,3.82,3.0,1.0
11,1150.0,3.94,3.0,1.0
12,1150.0,3.9,-1.0,1.0
13,1150.0,4.0,2.0,1.0
14,1160.0,3.85,2.0,1.0
15,1170.0,4.03,-1.0,1.0
16,1170.0,4.03,-1.0,1.0
17,1170.0,4.03,-1.0,1.0
18,1190.0,3.68,2.0,1.0
19,1200.0,3.51,-1.0,1.0
20,1200.0,3.89,-1.0,1.0
21,1200.0,3.89,-1.0,1.0
22,1200.0,3.89,-1.0,1.0
23,1220.0,3.84,2.0,1.0
24,1220.0,3.59,3.0,1.0
25,1230.0,3.8,2.0,1.0
26,1230.0,3.86,3.0,0.0
27,1250.0,4.23,2.0,1.0
28,1250.0,4.35,2.0,1.0
29,1250.0,4.09,3.0,1.0
30,1260.0,4.26,2.0,1.0
31,1260.0,4.26,2.0,1.0
32,1260.0,4.26,2.0,1.0
33,1270.0,3.77,3.0,1.0
34,1280.0,3.36,3.0,0.0
35,1280.0,3.82,3.0,1.0
36,1290.0,4.15,2.0,1.0
37,1290.0,4.19,3.0,0.0
38,1290.0,3.92,3.0,1.0
39,1310.0,4.15,2.0,1.0
40,1310.0,4.24,-1.0,1.0
41,1310.0,4.24,-1.0,1.0
42,1310.0,4.24,-1.0,1.0
43,1320.0,4.03,3.0,0.0
44,1330.0,3.7,-1.0,0.0
45,1340.0,3.88,3.0,1.0
46,1340.0,4.29,2.0,1.0
47,1340.0,4.29,2.0,1.0
48,1340.0,4.29,2.0,1.0
49,1350.0,3.43,-1.0,1.0
50,1370.0,4.0,2.0,1.0
51,1360.0,4.4,3.0,1.0
52,1360.0,4.17,2.0,1.0
53,1370.0,4.0,2.0,1.0
54,1370.0,4.39,3.0,1.0
55,1370.0,4.39,3.0,1.0
56,1370.0,4.39,3.0,1.0
57,1370.0,4.39,3.0,1.0
58,1390.0,4.34,-1.0,1.0
59,1400.0,4.26,3.0,1.0
60,1400.0,4.25,-1.0,1.0
61,1410.0,4.27,3.0,1.0
62,1410.0,4.42,2.0,1.0
63,1410.0,4.42,2.0,1.0
64,1420.0,4.13,2.0,1.0
65,1420.0,4.17,3.0,1.0
66,1430.0,4.3,-1.0,1.0
67,1430.0,4.25,-1.0,1.0
68,1430.0,4.25,-1.0,1.0
69,1430.0,4.25,-1.0,1.0
70,1490.0,4.46,-1.0,1.0
71,1520.0,4.51,2.0,1.0
72,1520.0,4.51,2.0,1.0
73,1520.0,4.51,2.0,1.0
