,SAT,GPA,PLAN,ACCEPT
0,1530.0,4.47,-1.0,1.0
1,1530.0,4.47,-1.0,1.0
2,1530.0,4.47,-1.0,1.0
3,1530.0,4.47,-1.0,1.0
4,1370.0,4.5,-1.0,1.0
5,1240.0,3.72,2.0,1.0
6,1270.0,4.6,2.0,1.0
7,1440.0,4.43,2.0,1.0
8,1120.0,3.48,3.0,1.0
9,1120.0,3.48,3.0,1.0
10,1120.0,3.48,3.0,1.0
11,1240.0,4.16,-1.0,1.0
12,1240.0,3.72,2.0,1.0
13,1270.0,4.6,2.0,1.0
14,1290.0,4.2,3.0,0.0
15,1310.0,4.18,2.0,1.0
16,1310.0,4.18,2.0,1.0
17,1310.0,4.18,2.0,1.0
18,1350.0,4.18,3.0,1.0
19,1350.0,4.18,3.0,1.0
20,1350.0,4.18,3.0,1.0
21,1370.0,4.5,-1.0,1.0
22,1410.0,3.87,-1.0,0.0
23,1440.0,4.43,2.0,1.0
24,1440.0,4.43,2.0,1.0
25,1440.0,4.43,2.0,1.0
26,1440.0,4.43,2.0,1.0
27,1470.0,4.3,-1.0,1.0
28,1530.0,4.47,-1.0,1.0
29,1530.0,4.47,-1.0,1.0
30,1530.0,4.47,-1.0,1.0
