,SAT,GPA,PLAN,ACCEPT
0,1250.0,4.09,3.0,1.0
1,1290.0,3.9,2.0,1.0
2,1290.0,3.9,2.0,1.0
3,1120.0,3.7,3.0,0.0
4,1120.0,3.7,3.0,0.0
5,1120.0,3.7,3.0,0.0
6,1150.0,3.6,2.0,1.0
7,1160.0,3.84,2.0,0.0
8,1170.0,4.07,2.0,0.0
9,1170.0,4.07,2.0,0.0
10,1170.0,4.07,2.0,0.0
11,1190.0,3.68,3.0,1.0
12,1200.0,4.14,2.0,1.0
13,1200.0,3.84,2.0,1.0
14,1200.0,3.84,2.0,1.0
15,1200.0,3.84,2.0,1.0
16,1200.0,3.84,2.0,1.0
17,1230.0,3.92,2.0,1.0
18,1230.0,4.09,3.0,1.0
19,1230.0,3.48,2.0,1.0
20,1230.0,3.21,2.0,0.0
21,1230.0,3.99,3.0,1.0
22,1230.0,3.92,2.0,1.0
23,1250.0,4.09,3.0,1.0
24,1250.0,3.63,3.0,1.0
25,1250.0,3.59,2.0,1.0
26,1270.0,3.77,3.0,1.0
27,1270.0,3.77,3.0,1.0
28,1270.0,3.77,3.0,1.0
29,1270.0,3.13,3.0,1.0
30,1280.0,3.82,3.0,1.0
31,1280.0,3.82,3.0,1.0
32,1280.0,3.82,3.0,1.0
33,1290.0,4.19,3.0,1.0
34,1290.0,3.94,2.0,1.0
35,1290.0,4.15,2.0,1.0
36,1290.0,4.19,3.0,1.0
37,1290.0,3.9,2.0,1.0
38,1290.0,3.94,2.0,1.0
39,1270.0,4.18,3.0,1.0
40,1290.0,3.9,2.0,1.0
41,1290.0,3.9,2.0,1.0
42,1320.0,4.33,2.0,1.0
43,1320.0,4.33,2.0,1.0
44,1330.0,3.96,2.0,1.0
45,1420.0,4.68,-1.0,1.0
46,1420.0,4.68,-1.0,1.0
47,1420.0,4.68,-1.0,1.0
48,1420.0,4.68,-1.0,1.0
49,1420.0,4.68,-1.0,1.0
