,SAT,GPA,PLAN,ACCEPT
0,1000.0,4.0,3.0,0.0
1,1010.0,2.94,3.0,0.0
2,1010.0,2.94,3.0,0.0
3,1010.0,2.94,3.0,0.0
4,1030.0,3.11,3.0,0.0
5,1040.0,3.6,3.0,0.0
6,1050.0,3.74,3.0,1.0
7,1080.0,3.28,1.0,0.0
8,1100.0,3.38,1.0,0.0
9,1100.0,3.74,1.0,1.0
10,1100.0,3.38,1.0,0.0
11,1110.0,3.88,3.0,1.0
12,1110.0,3.51,3.0,0.0
13,1110.0,4.1,2.0,1.0
14,1110.0,4.05,3.0,1.0
15,1110.0,4.05,3.0,1.0
16,1110.0,4.05,3.0,1.0
17,1120.0,3.7,3.0,0.0
18,1120.0,3.7,3.0,0.0
19,1120.0,3.7,3.0,0.0
20,1130.0,3.76,1.0,1.0
21,1140.0,3.58,3.0,0.0
22,1140.0,3.43,2.0,1.0
23,1140.0,4.0,2.0,1.0
24,1150.0,3.6,2.0,0.0
25,1150.0,3.47,3.0,0.0
26,1150.0,3.9,1.0,1.0
27,1150.0,4.0,1.0,1.0
28,1160.0,3.91,1.0,1.0
29,1160.0,3.85,2.0,0.0
30,1160.0,3.18,3.0,0.0
31,1160.0,3.84,2.0,1.0
32,1160.0,3.84,2.0,1.0
33,1160.0,3.84,2.0,1.0
34,1170.0,4.15,3.0,1.0
35,1170.0,4.15,3.0,1.0
36,1170.0,4.07,2.0,1.0
37,1180.0,3.9,2.0,1.0
38,1180.0,4.09,3.0,1.0
39,1180.0,4.07,3.0,1.0
40,1190.0,3.87,2.0,1.0
41,1190.0,3.18,3.0,0.0
42,1190.0,3.91,1.0,1.0
43,1190.0,4.11,1.0,1.0
44,1190.0,4.08,3.0,1.0
45,1190.0,3.78,1.0,0.0
46,1200.0,4.06,3.0,1.0
47,1200.0,3.84,1.0,1.0
48,1210.0,3.78,3.0,0.0
49,1210.0,4.21,3.0,1.0
50,1210.0,4.08,2.0,1.0
51,1210.0,4.21,3.0,1.0
52,1210.0,3.58,2.0,0.0
53,1210.0,4.25,3.0,1.0
54,1210.0,4.25,3.0,1.0
55,1210.0,4.25,3.0,1.0
56,1220.0,3.41,1.0,0.0
57,1220.0,3.59,1.0,0.0
58,1220.0,3.41,1.0,0.0
59,1220.0,4.23,3.0,1.0
60,1230.0,3.56,1.0,1.0
61,1230.0,3.74,1.0,0.0
62,1230.0,3.95,2.0,0.0
63,1230.0,3.86,3.0,0.0
64,1230.0,3.99,2.0,1.0
65,1230.0,4.16,2.0,1.0
66,1230.0,3.75,3.0,1.0
67,1230.0,4.15,3.0,1.0
68,1240.0,4.16,3.0,1.0
69,1240.0,4.19,3.0,1.0
70,1240.0,4.04,2.0,1.0
71,1240.0,4.12,3.0,0.0
72,1240.0,3.91,3.0,1.0
73,1240.0,4.23,3.0,1.0
74,1240.0,4.23,3.0,1.0
75,1250.0,4.23,2.0,1.0
76,1250.0,4.09,3.0,0.0
77,1250.0,3.53,1.0,0.0
78,1250.0,4.13,3.0,1.0
79,1250.0,4.27,3.0,1.0
80,1250.0,4.13,3.0,1.0
81,1250.0,4.11,3.0,1.0
82,1260.0,4.07,3.0,1.0
83,1260.0,3.75,2.0,0.0
84,1260.0,3.85,3.0,1.0
85,1260.0,4.26,2.0,1.0
86,1260.0,4.18,2.0,1.0
87,1260.0,4.54,1.0,1.0
88,1260.0,3.28,3.0,0.0
89,1270.0,3.86,3.0,1.0
90,1270.0,4.3,1.0,1.0
91,1270.0,4.18,3.0,1.0
92,1270.0,3.52,1.0,1.0
93,1270.0,3.77,1.0,1.0
94,1270.0,4.33,3.0,1.0
95,1270.0,4.33,3.0,1.0
96,1270.0,4.31,3.0,1.0
97,1280.0,4.04,3.0,1.0
98,1280.0,4.2,3.0,1.0
99,1280.0,3.68,3.0,1.0
100,1280.0,3.96,3.0,1.0
101,1280.0,4.39,3.0,1.0
102,1290.0,3.94,3.0,1.0
103,1290.0,4.2,3.0,0.0
104,1290.0,3.42,3.0,0.0
105,1290.0,4.19,3.0,1.0
106,1290.0,3.97,3.0,1.0
107,1290.0,4.2,3.0,0.0
108,1290.0,4.02,2.0,1.0
109,1290.0,4.35,3.0,1.0
110,1300.0,4.05,3.0,1.0
111,1300.0,4.06,3.0,1.0
112,1300.0,4.39,-1.0,1.0
113,1300.0,4.25,3.0,1.0
114,1300.0,3.48,1.0,0.0
115,1300.0,4.23,3.0,1.0
116,1300.0,4.23,3.0,1.0
117,1300.0,4.23,3.0,1.0
118,1310.0,4.13,2.0,1.0
119,1310.0,4.18,2.0,1.0
120,1310.0,4.24,3.0,1.0
121,1310.0,4.24,3.0,1.0
122,1310.0,4.24,3.0,1.0
123,1310.0,4.24,3.0,1.0
124,1320.0,3.98,3.0,0.0
125,1320.0,4.34,3.0,1.0
126,1320.0,4.2,2.0,1.0
127,1320.0,4.1,3.0,1.0
128,1320.0,4.03,1.0,1.0
129,1320.0,3.66,1.0,1.0
130,1320.0,4.18,3.0,1.0
131,1320.0,3.98,3.0,1.0
132,1330.0,4.33,3.0,1.0
133,1330.0,3.73,2.0,0.0
134,1330.0,3.96,2.0,1.0
135,1330.0,3.7,3.0,0.0
136,1340.0,4.29,3.0,1.0
137,1340.0,3.9,3.0,1.0
138,1340.0,3.88,3.0,0.0
139,1340.0,4.15,2.0,1.0
140,1340.0,4.08,2.0,1.0
141,1340.0,3.51,3.0,0.0
142,1350.0,4.42,3.0,1.0
143,1350.0,4.42,3.0,1.0
144,1350.0,4.18,3.0,1.0
145,1350.0,4.35,2.0,1.0
146,1350.0,4.22,1.0,1.0
147,1350.0,4.35,3.0,1.0
148,1350.0,4.21,1.0,1.0
149,1350.0,3.43,1.0,0.0
150,1350.0,4.42,2.0,1.0
151,1360.0,3.41,3.0,0.0
152,1360.0,3.41,3.0,0.0
153,1360.0,3.41,3.0,0.0
154,1360.0,4.22,1.0,1.0
155,1360.0,4.23,3.0,1.0
156,1360.0,4.44,3.0,1.0
157,1360.0,4.34,2.0,1.0
158,1370.0,4.31,2.0,1.0
159,1370.0,4.29,2.0,1.0
160,1370.0,3.44,3.0,0.0
161,1370.0,4.15,3.0,1.0
162,1370.0,4.31,2.0,1.0
163,1370.0,4.39,3.0,1.0
164,1370.0,4.39,3.0,1.0
165,1370.0,4.39,3.0,1.0
166,1390.0,4.34,3.0,1.0
167,1400.0,4.25,2.0,1.0
168,1400.0,4.4,3.0,1.0
169,1400.0,4.45,2.0,1.0
170,1400.0,4.45,2.0,1.0
171,1400.0,4.45,2.0,1.0
172,1400.0,4.45,3.0,1.0
173,1410.0,4.17,2.0,1.0
174,1410.0,3.87,3.0,0.0
175,1410.0,4.42,2.0,1.0
176,1410.0,4.37,3.0,1.0
177,1410.0,4.34,2.0,1.0
178,1410.0,4.34,2.0,1.0
179,1410.0,4.42,1.0,1.0
180,1410.0,4.17,2.0,1.0
181,1420.0,4.13,2.0,1.0
182,1420.0,3.91,3.0,1.0
183,1420.0,4.32,2.0,1.0
184,1420.0,3.91,3.0,1.0
185,1420.0,4.46,2.0,1.0
186,1430.0,3.89,1.0,1.0
187,1430.0,3.81,3.0,1.0
188,1430.0,4.12,2.0,1.0
189,1430.0,4.23,3.0,1.0
190,1430.0,4.3,2.0,1.0
191,1430.0,4.55,3.0,1.0
192,1430.0,4.25,2.0,1.0
193,1440.0,4.55,2.0,1.0
194,1440.0,4.0,1.0,1.0
195,1450.0,4.69,3.0,1.0
196,1450.0,4.34,3.0,1.0
197,1450.0,4.12,3.0,1.0
198,1450.0,4.68,3.0,1.0
199,1460.0,4.42,3.0,1.0
200,1460.0,4.35,3.0,1.0
201,1460.0,4.37,3.0,1.0
202,1460.0,4.21,3.0,1.0
