,SAT,GPA,PLAN,ACCEPT
0,1030.0,3.37,3.0,1.0
1,1030.0,3.6,3.0,1.0
2,1040.0,3.6,2.0,1.0
3,1050.0,3.03,2.0,0.0
4,1050.0,3.74,3.0,1.0
5,1060.0,3.4,2.0,1.0
6,1060.0,3.44,1.0,1.0
7,1060.0,3.44,1.0,1.0
8,1060.0,3.44,1.0,1.0
9,1060.0,3.44,1.0,1.0
10,1060.0,3.44,1.0,1.0
11,1060.0,3.44,1.0,1.0
12,1060.0,3.44,1.0,1.0
13,1060.0,3.44,1.0,1.0
14,1060.0,3.44,1.0,1.0
15,1060.0,3.44,1.0,1.0
16,1060.0,3.44,1.0,1.0
17,1060.0,3.44,1.0,1.0
18,1060.0,3.44,1.0,1.0
19,1060.0,3.44,1.0,1.0
20,1060.0,3.44,1.0,1.0
21,1060.0,3.44,1.0,1.0
22,1060.0,3.44,1.0,1.0
23,1110.0,3.48,2.0,1.0
24,1120.0,3.63,2.0,1.0
25,1120.0,3.63,2.0,1.0
26,1120.0,3.63,2.0,1.0
27,1120.0,3.63,2.0,1.0
28,1120.0,3.63,2.0,1.0
29,1120.0,3.63,2.0,1.0
30,1120.0,3.63,2.0,1.0
31,1120.0,3.63,2.0,1.0
32,1120.0,3.63,2.0,1.0
33,1120.0,3.63,2.0,1.0
34,1120.0,3.63,2.0,1.0
35,1150.0,4.0,2.0,1.0
36,1150.0,4.0,2.0,1.0
37,1150.0,4.0,2.0,1.0
38,1150.0,4.0,2.0,1.0
39,1150.0,4.0,2.0,1.0
40,1150.0,4.0,2.0,1.0
41,1150.0,4.0,2.0,1.0
42,1150.0,4.0,2.0,1.0
43,1180.0,3.52,2.0,1.0
44,1180.0,3.52,2.0,1.0
45,1180.0,3.88,2.0,1.0
46,1180.0,4.04,2.0,0.0
47,1190.0,3.96,3.0,1.0
48,1190.0,3.78,3.0,1.0
49,1190.0,3.68,2.0,1.0
50,1190.0,3.68,2.0,1.0
51,1190.0,4.11,2.0,1.0
52,1190.0,4.11,2.0,1.0
53,1190.0,4.11,2.0,1.0
54,1200.0,3.51,2.0,1.0
55,1210.0,3.78,3.0,1.0
56,1230.0,3.97,3.0,1.0
57,1210.0,3.78,3.0,1.0
58,1220.0,4.23,2.0,1.0
59,1220.0,3.41,2.0,1.0
60,1230.0,3.48,3.0,1.0
61,1230.0,3.95,2.0,0.0
62,1230.0,3.97,3.0,1.0
63,1230.0,3.86,2.0,1.0
64,1260.0,3.88,2.0,1.0
65,1270.0,3.86,3.0,1.0
66,1270.0,4.11,2.0,1.0
67,1270.0,4.11,2.0,1.0
68,1270.0,4.11,2.0,1.0
69,1280.0,3.69,3.0,0.0
70,1280.0,4.04,2.0,1.0
71,1280.0,4.21,2.0,1.0
72,1280.0,3.84,1.0,1.0
73,1290.0,4.19,2.0,1.0
74,1290.0,3.42,3.0,1.0
75,1290.0,4.2,3.0,1.0
76,1290.0,3.97,2.0,1.0
77,1300.0,4.25,2.0,1.0
78,1310.0,3.38,3.0,1.0
79,1310.0,4.03,1.0,1.0
80,1320.0,3.66,2.0,1.0
81,1320.0,4.34,2.0,1.0
82,1320.0,3.66,2.0,1.0
83,1330.0,3.38,2.0,1.0
84,1330.0,3.38,2.0,1.0
85,1330.0,3.38,2.0,1.0
86,1340.0,3.9,2.0,1.0
87,1350.0,3.43,3.0,1.0
88,1360.0,3.41,3.0,1.0
89,1360.0,4.17,2.0,1.0
90,1370.0,4.0,3.0,1.0
91,1370.0,4.0,3.0,1.0
92,1370.0,4.18,3.0,1.0
93,1370.0,3.76,3.0,1.0
94,1380.0,4.5,2.0,1.0
95,1400.0,4.25,2.0,1.0
96,1410.0,3.44,2.0,1.0
97,1430.0,4.0,2.0,1.0
98,1450.0,4.34,2.0,1.0
99,1450.0,4.34,2.0,1.0
100,1540.0,4.32,2.0,1.0
101,1540.0,4.32,2.0,1.0
