,SAT,GPA,PLAN,ACCEPT
0,1220.0,3.7,3.0,1.0
1,1230.0,3.48,2.0,0.0
2,1230.0,4.09,3.0,0.0
3,1240.0,4.16,-1.0,0.0
4,1240.0,4.16,-1.0,0.0
5,1240.0,4.16,-1.0,0.0
6,1240.0,4.16,-1.0,0.0
7,1270.0,3.86,3.0,0.0
8,1270.0,4.18,3.0,0.0
9,1270.0,3.86,3.0,0.0
10,1270.0,3.77,-1.0,0.0
11,1270.0,3.77,-1.0,0.0
12,1270.0,3.77,-1.0,0.0
13,1270.0,3.77,-1.0,0.0
14,1290.0,4.15,2.0,1.0
15,1290.0,4.15,2.0,1.0
16,1290.0,4.15,2.0,1.0
17,1290.0,4.15,2.0,1.0
18,1310.0,4.24,-1.0,0.0
19,1310.0,4.15,2.0,0.0
20,1350.0,4.35,2.0,1.0
21,1350.0,4.35,2.0,1.0
22,1350.0,4.35,2.0,1.0
23,1350.0,4.35,2.0,1.0
24,1370.0,4.0,-1.0,0.0
25,1380.0,4.36,-1.0,1.0
26,1380.0,4.36,-1.0,1.0
27,1410.0,4.42,3.0,1.0
28,1450.0,4.68,3.0,1.0
29,1480.0,4.38,-1.0,1.0
30,1480.0,4.38,-1.0,1.0
31,1480.0,4.38,-1.0,1.0
