,SAT,GPA,PLAN,ACCEPT
0,1100.0,3.74,3.0,0.0
1,1100.0,3.74,3.0,0.0
2,1120.0,4.01,3.0,0.0
3,1150.0,3.96,3.0,0.0
4,1160.0,3.18,3.0,0.0
5,1160.0,3.18,3.0,0.0
6,1170.0,4.49,3.0,1.0
7,1180.0,3.9,3.0,0.0
8,1180.0,4.0,3.0,0.0
9,1240.0,3.72,3.0,0.0
10,1240.0,3.93,3.0,0.0
11,1250.0,4.11,3.0,0.0
12,1260.0,3.28,3.0,0.0
13,1260.0,4.26,3.0,0.0
14,1260.0,4.07,3.0,1.0
15,1260.0,3.98,3.0,0.0
16,1280.0,4.26,3.0,0.0
17,1280.0,4.38,3.0,1.0
18,1280.0,3.69,3.0,0.0
19,1280.0,3.68,3.0,0.0
20,1290.0,4.18,1.0,1.0
21,1290.0,4.35,3.0,0.0
22,1300.0,4.25,3.0,0.0
23,1310.0,4.56,3.0,1.0
24,1320.0,4.1,3.0,0.0
25,1340.0,3.9,3.0,0.0
26,1340.0,4.57,2.0,1.0
27,1350.0,4.42,3.0,1.0
28,1360.0,4.44,3.0,1.0
29,1360.0,4.23,3.0,1.0
30,1360.0,4.44,3.0,1.0
31,1370.0,4.5,3.0,1.0
32,1370.0,4.15,3.0,0.0
33,1370.0,3.3,3.0,0.0
34,1380.0,4.5,3.0,1.0
35,1380.0,4.5,3.0,1.0
36,1400.0,4.29,3.0,1.0
37,1400.0,4.34,3.0,1.0
38,1410.0,4.51,3.0,1.0
39,1410.0,4.51,3.0,1.0
40,1410.0,4.51,3.0,1.0
41,1420.0,4.68,1.0,1.0
42,1420.0,4.46,3.0,1.0
43,1430.0,4.12,2.0,0.0
44,1440.0,4.55,2.0,1.0
45,1460.0,4.32,3.0,1.0
46,1460.0,4.42,3.0,1.0
47,1460.0,4.21,3.0,0.0
48,1470.0,4.35,1.0,1.0
49,1480.0,4.69,3.0,1.0
50,1480.0,4.69,3.0,1.0
51,1500.0,4.56,3.0,1.0
52,1500.0,4.56,3.0,1.0
53,1500.0,4.56,3.0,1.0
54,1540.0,4.63,3.0,1.0
55,1540.0,4.63,3.0,1.0
