,SAT,GPA,PLAN,ACCEPT
0,1110.0,4.05,2.0,1.0
1,1360.0,4.4,3.0,1.0
2,1360.0,4.4,3.0,1.0
3,1360.0,4.4,3.0,1.0
4,1400.0,4.34,2.0,0.0
5,1400.0,4.26,2.0,0.0
6,1410.0,3.87,3.0,0.0
7,1410.0,4.19,2.0,0.0
8,1440.0,4.56,2.0,0.0
9,1440.0,4.56,2.0,0.0
10,1440.0,4.56,2.0,0.0
11,1440.0,4.56,2.0,0.0
12,1440.0,4.56,2.0,0.0
13,1440.0,4.56,2.0,0.0
14,1440.0,4.56,2.0,0.0
15,1460.0,4.35,2.0,0.0
16,1460.0,4.55,2.0,1.0
17,1460.0,4.32,2.0,0.0
18,1460.0,4.32,2.0,0.0
19,1460.0,4.32,2.0,0.0
20,1510.0,4.73,2.0,1.0
21,1520.0,4.61,2.0,1.0
22,1530.0,4.54,2.0,1.0
23,1530.0,4.54,2.0,1.0
24,1530.0,4.54,2.0,1.0
25,1530.0,4.54,2.0,1.0
