,SAT,GPA,PLAN,ACCEPT
0,960.0,3.58,3.0,0.0
1,960.0,3.58,3.0,0.0
2,980.0,3.91,3.0,1.0
3,980.0,3.91,3.0,1.0
4,980.0,3.91,3.0,1.0
5,980.0,3.91,3.0,1.0
6,980.0,3.91,3.0,1.0
7,1020.0,3.73,3.0,1.0
8,1030.0,3.11,3.0,0.0
9,1030.0,3.11,3.0,0.0
10,1030.0,3.11,3.0,0.0
11,1040.0,3.3,2.0,0.0
12,1040.0,3.3,2.0,0.0
13,1040.0,3.58,3.0,1.0
14,1040.0,3.6,2.0,1.0
15,1040.0,3.6,2.0,1.0
16,1040.0,3.6,2.0,1.0
17,1050.0,3.79,2.0,1.0
18,1050.0,3.28,3.0,0.0
19,1050.0,3.6,3.0,1.0
20,1050.0,3.91,3.0,0.0
21,1050.0,3.26,2.0,0.0
22,1050.0,3.74,3.0,1.0
23,1060.0,3.64,3.0,1.0
24,1060.0,3.44,3.0,0.0
25,1080.0,3.41,2.0,0.0
26,1080.0,3.41,2.0,0.0
27,1080.0,3.28,2.0,0.0
28,1080.0,3.88,2.0,1.0
29,1080.0,3.88,2.0,1.0
30,1080.0,3.88,2.0,1.0
31,1090.0,3.23,3.0,0.0
32,1090.0,3.83,2.0,0.0
33,1090.0,3.39,3.0,0.0
34,1090.0,3.96,2.0,1.0
35,1090.0,3.76,3.0,1.0
36,1100.0,3.21,3.0,0.0
37,1100.0,3.38,2.0,0.0
38,1100.0,3.74,2.0,1.0
39,1110.0,3.28,2.0,0.0
40,1110.0,3.28,2.0,0.0
41,1110.0,3.28,2.0,0.0
42,1110.0,3.28,2.0,0.0
43,1110.0,4.02,3.0,1.0
44,1120.0,4.01,2.0,1.0
45,1120.0,3.7,3.0,1.0
46,1120.0,3.78,2.0,1.0
47,1120.0,3.78,2.0,1.0
48,1120.0,3.78,2.0,1.0
49,1130.0,3.76,2.0,1.0
50,1140.0,4.0,2.0,1.0
51,1140.0,3.68,2.0,1.0
52,1140.0,3.78,2.0,1.0
53,1140.0,3.53,2.0,1.0
54,1150.0,3.6,2.0,1.0
55,1150.0,3.91,2.0,1.0
56,1150.0,3.88,2.0,1.0
57,1150.0,3.96,3.0,1.0
58,1150.0,4.0,2.0,1.0
59,1150.0,4.0,2.0,1.0
60,1150.0,3.26,2.0,0.0
61,1160.0,3.91,2.0,0.0
62,1160.0,3.84,2.0,1.0
63,1160.0,3.73,3.0,0.0
64,1160.0,3.85,2.0,1.0
65,1160.0,3.18,3.0,1.0
66,1160.0,3.07,3.0,0.0
67,1160.0,3.18,3.0,0.0
68,1170.0,3.95,2.0,1.0
69,1170.0,3.9,2.0,1.0
70,1170.0,4.07,2.0,1.0
71,1170.0,4.07,2.0,1.0
72,1170.0,4.03,2.0,1.0
73,1180.0,4.04,3.0,0.0
74,1180.0,3.72,3.0,1.0
75,1180.0,3.94,3.0,1.0
76,1190.0,4.11,2.0,1.0
77,1180.0,2.96,3.0,0.0
78,1180.0,4.0,3.0,1.0
79,1180.0,3.9,2.0,1.0
80,1190.0,4.11,2.0,1.0
81,1190.0,3.78,2.0,1.0
82,1190.0,3.91,2.0,1.0
83,1190.0,3.25,3.0,0.0
84,1190.0,3.18,3.0,0.0
85,1200.0,4.03,3.0,1.0
86,1200.0,3.84,2.0,1.0
87,1200.0,3.51,3.0,1.0
88,1200.0,3.89,3.0,1.0
89,1200.0,3.86,3.0,1.0
90,1200.0,4.08,3.0,1.0
91,1200.0,4.08,3.0,1.0
92,1170.0,4.07,2.0,1.0
93,1210.0,2.98,2.0,0.0
94,1210.0,4.21,2.0,1.0
95,1210.0,3.78,2.0,1.0
96,1210.0,3.58,2.0,0.0
97,1210.0,4.21,2.0,1.0
98,1210.0,4.28,2.0,1.0
99,1220.0,3.84,2.0,1.0
100,1220.0,3.59,2.0,1.0
101,1220.0,4.17,2.0,1.0
102,1220.0,4.23,3.0,1.0
103,1220.0,3.7,3.0,1.0
104,1230.0,4.16,2.0,1.0
105,1230.0,3.95,2.0,1.0
106,1230.0,3.97,3.0,1.0
107,1230.0,3.92,2.0,1.0
108,1230.0,3.6,3.0,1.0
109,1230.0,3.99,3.0,1.0
110,1230.0,3.86,3.0,1.0
111,1230.0,3.74,2.0,1.0
112,1230.0,3.9,3.0,1.0
113,1230.0,3.92,2.0,1.0
114,1230.0,4.15,3.0,1.0
115,1240.0,3.82,2.0,1.0
116,1240.0,4.16,2.0,1.0
117,1240.0,3.8,2.0,1.0
118,1240.0,3.68,3.0,1.0
119,1240.0,3.08,3.0,0.0
120,1240.0,4.23,2.0,1.0
121,1240.0,3.72,2.0,1.0
122,1240.0,3.91,2.0,1.0
123,1240.0,4.04,2.0,1.0
124,1250.0,4.35,2.0,1.0
125,1250.0,3.59,2.0,1.0
126,1250.0,4.13,3.0,1.0
127,1250.0,4.05,2.0,1.0
128,1250.0,4.23,2.0,1.0
129,1250.0,4.27,3.0,0.0
130,1250.0,4.35,2.0,1.0
131,1250.0,4.27,3.0,0.0
132,1250.0,4.09,3.0,1.0
133,1250.0,4.11,3.0,1.0
134,1260.0,4.07,2.0,1.0
135,1260.0,3.88,2.0,1.0
136,1260.0,3.85,2.0,1.0
137,1260.0,3.75,2.0,1.0
138,1260.0,4.26,3.0,1.0
139,1260.0,3.28,3.0,1.0
140,1270.0,4.18,3.0,1.0
141,1270.0,3.77,2.0,1.0
142,1270.0,4.25,3.0,1.0
143,1270.0,4.31,2.0,1.0
144,1270.0,3.86,2.0,1.0
145,1270.0,3.62,2.0,1.0
146,1270.0,4.11,2.0,1.0
147,1270.0,4.18,3.0,1.0
148,1270.0,4.33,3.0,1.0
149,1270.0,4.6,3.0,1.0
150,1270.0,3.52,3.0,1.0
151,1280.0,4.04,2.0,1.0
152,1280.0,4.2,3.0,1.0
153,1280.0,4.26,3.0,1.0
154,1280.0,3.68,3.0,1.0
155,1280.0,3.84,3.0,1.0
156,1290.0,4.15,2.0,1.0
157,1290.0,4.2,3.0,1.0
158,1290.0,3.97,3.0,1.0
159,1290.0,3.42,2.0,1.0
160,1290.0,3.94,2.0,1.0
161,1290.0,3.45,2.0,0.0
162,1290.0,4.19,2.0,1.0
163,1290.0,3.9,2.0,1.0
164,1290.0,4.19,3.0,1.0
165,1290.0,3.92,2.0,1.0
166,1290.0,4.35,3.0,1.0
167,1290.0,4.27,3.0,1.0
168,1290.0,3.97,3.0,1.0
169,1300.0,4.42,2.0,1.0
170,1300.0,4.25,2.0,1.0
171,1300.0,4.23,3.0,1.0
172,1300.0,4.05,3.0,1.0
173,1310.0,4.0,2.0,1.0
174,1310.0,4.18,2.0,1.0
175,1310.0,4.15,2.0,1.0
176,1310.0,4.13,2.0,1.0
177,1310.0,4.56,2.0,1.0
178,1310.0,3.98,3.0,1.0
179,1320.0,4.34,2.0,1.0
180,1320.0,4.03,2.0,0.0
181,1320.0,3.66,3.0,1.0
182,1320.0,4.3,2.0,1.0
183,1320.0,4.18,2.0,1.0
184,1320.0,4.2,2.0,1.0
185,1320.0,4.1,3.0,1.0
186,1320.0,3.98,2.0,1.0
187,1320.0,3.75,2.0,1.0
188,1330.0,4.33,3.0,1.0
189,1330.0,3.58,2.0,1.0
190,1330.0,3.79,3.0,1.0
191,1330.0,3.73,2.0,1.0
192,1330.0,3.96,2.0,1.0
193,1330.0,3.38,2.0,0.0
194,1340.0,3.99,2.0,1.0
195,1340.0,3.88,2.0,1.0
196,1340.0,4.57,2.0,1.0
197,1340.0,3.9,3.0,1.0
198,1350.0,4.42,2.0,1.0
199,1350.0,4.42,2.0,1.0
200,1350.0,4.35,2.0,1.0
