,SAT,GPA,PLAN,ACCEPT
0,1080.0,4.14,3.0,1.0
1,1170.0,4.12,3.0,1.0
2,1170.0,4.12,3.0,1.0
3,1170.0,4.12,3.0,1.0
4,1170.0,4.12,3.0,1.0
5,1250.0,4.22,-1.0,1.0
6,1270.0,4.31,3.0,1.0
7,1270.0,4.31,3.0,1.0
8,1270.0,4.31,3.0,1.0
9,1290.0,4.15,-1.0,1.0
10,1410.0,4.17,2.0,1.0
11,1420.0,4.17,-1.0,1.0
12,1430.0,4.12,3.0,1.0
13,1450.0,4.68,-1.0,1.0
14,1440.0,4.47,-1.0,1.0
15,1440.0,4.47,-1.0,1.0
16,1460.0,4.32,3.0,1.0
17,1480.0,4.58,-1.0,1.0
18,1480.0,4.69,3.0,1.0
19,1480.0,4.69,3.0,1.0
20,1480.0,4.69,3.0,1.0
21,1480.0,4.69,3.0,1.0
22,1480.0,4.69,3.0,1.0
23,1480.0,4.69,3.0,1.0
