,SAT,GPA,PLAN,ACCEPT
0,1000.0,4.0,3.0,0.0
1,1000.0,4.0,3.0,0.0
2,1040.0,3.58,3.0,0.0
3,1070.0,4.2,3.0,0.0
4,1100.0,3.63,2.0,0.0
5,1110.0,4.02,3.0,0.0
6,1110.0,3.48,2.0,0.0
7,1110.0,3.48,2.0,0.0
8,1120.0,4.07,2.0,0.0
9,1120.0,3.7,3.0,0.0
10,1130.0,3.87,3.0,0.0
11,1130.0,4.21,3.0,0.0
12,1130.0,4.21,3.0,0.0
13,1150.0,3.96,3.0,0.0
14,1150.0,3.6,3.0,0.0
15,1170.0,4.15,3.0,0.0
16,1170.0,4.49,3.0,1.0
17,1180.0,3.9,2.0,0.0
18,1210.0,3.78,3.0,0.0
19,1210.0,4.25,2.0,1.0
20,1220.0,4.22,2.0,1.0
21,1220.0,4.17,2.0,0.0
22,1220.0,4.17,2.0,0.0
23,1220.0,4.17,2.0,0.0
24,1230.0,3.9,3.0,0.0
25,1240.0,3.82,2.0,0.0
26,1240.0,4.23,2.0,0.0
27,1240.0,3.72,2.0,0.0
28,1240.0,3.93,3.0,0.0
29,1240.0,3.93,3.0,0.0
30,1240.0,4.16,3.0,0.0
31,1250.0,4.09,3.0,0.0
32,1250.0,4.11,3.0,0.0
33,1250.0,4.42,2.0,1.0
34,1260.0,4.26,2.0,0.0
35,1260.0,3.98,3.0,0.0
36,1260.0,4.07,3.0,0.0
37,1270.0,4.31,2.0,0.0
38,1270.0,4.37,2.0,1.0
39,1270.0,4.6,2.0,1.0
40,1270.0,4.25,3.0,0.0
41,1270.0,4.18,2.0,0.0
42,1280.0,3.69,3.0,0.0
43,1290.0,4.19,2.0,0.0
44,1290.0,4.35,2.0,0.0
45,1300.0,4.05,3.0,0.0
46,1300.0,4.06,3.0,0.0
47,1300.0,4.42,2.0,0.0
48,1300.0,4.42,2.0,0.0
49,1300.0,4.42,2.0,0.0
50,1310.0,4.0,2.0,0.0
51,1310.0,4.56,2.0,1.0
52,1310.0,4.06,3.0,0.0
53,1310.0,4.18,2.0,0.0
54,1310.0,4.13,2.0,0.0
55,1310.0,4.24,3.0,0.0
56,1310.0,4.03,2.0,0.0
57,1320.0,4.03,2.0,0.0
58,1320.0,4.3,2.0,0.0
59,1320.0,4.18,2.0,0.0
60,1320.0,4.2,2.0,0.0
61,1320.0,4.03,2.0,0.0
62,1320.0,4.63,2.0,1.0
63,1330.0,4.28,3.0,1.0
64,1340.0,4.15,2.0,0.0
65,1340.0,4.57,2.0,1.0
66,1340.0,3.9,3.0,0.0
67,1340.0,3.98,2.0,0.0
68,1340.0,4.29,2.0,0.0
69,1350.0,4.42,2.0,0.0
70,1350.0,4.29,3.0,0.0
71,1350.0,4.35,2.0,0.0
72,1350.0,4.35,2.0,0.0
73,1360.0,4.4,2.0,1.0
74,1360.0,4.44,2.0,1.0
75,1360.0,4.34,2.0,0.0
76,1360.0,4.49,3.0,0.0
77,1360.0,4.23,3.0,0.0
78,1370.0,4.5,2.0,1.0
79,1370.0,4.15,3.0,0.0
80,1370.0,4.29,2.0,0.0
81,1370.0,4.0,2.0,0.0
82,1370.0,4.42,3.0,1.0
83,1370.0,3.76,3.0,0.0
84,1370.0,4.07,2.0,1.0
85,1380.0,4.5,2.0,1.0
86,1380.0,4.35,3.0,0.0
87,1380.0,4.59,2.0,1.0
88,1380.0,4.36,2.0,1.0
89,1380.0,4.59,2.0,1.0
90,1390.0,3.98,3.0,0.0
91,1400.0,4.26,2.0,0.0
92,1400.0,4.45,2.0,0.0
93,1400.0,4.24,3.0,0.0
94,1400.0,4.34,2.0,1.0
95,1400.0,4.4,2.0,0.0
96,1400.0,4.49,2.0,1.0
97,1400.0,4.25,2.0,0.0
98,1400.0,4.45,2.0,1.0
99,1410.0,4.17,2.0,0.0
100,1410.0,3.87,3.0,0.0
101,1410.0,3.44,2.0,0.0
102,1410.0,4.37,3.0,1.0
103,1410.0,4.19,2.0,0.0
104,1410.0,4.34,3.0,0.0
105,1410.0,3.44,2.0,0.0
106,1410.0,4.42,2.0,1.0
107,1410.0,4.51,2.0,1.0
108,1410.0,4.26,2.0,0.0
109,1420.0,4.17,3.0,0.0
110,1420.0,4.13,2.0,0.0
111,1420.0,4.46,2.0,1.0
112,1420.0,4.32,3.0,0.0
113,1410.0,3.44,2.0,0.0
114,1410.0,3.44,2.0,0.0
115,1410.0,3.44,2.0,0.0
116,1410.0,3.44,2.0,0.0
117,1430.0,4.15,2.0,1.0
118,1430.0,3.81,3.0,0.0
119,1430.0,4.55,2.0,1.0
120,1430.0,4.55,2.0,1.0
121,1430.0,4.55,2.0,1.0
122,1430.0,4.12,2.0,0.0
123,1440.0,4.56,2.0,1.0
124,1440.0,4.56,2.0,1.0
125,1440.0,4.47,2.0,1.0
126,1440.0,4.51,2.0,1.0
127,1440.0,4.43,2.0,1.0
128,1440.0,4.0,3.0,1.0
129,1450.0,4.34,2.0,0.0
130,1450.0,4.69,2.0,1.0
131,1450.0,4.68,2.0,1.0
132,1460.0,4.55,2.0,1.0
133,1460.0,4.37,2.0,0.0
134,1460.0,4.32,3.0,1.0
135,1460.0,4.42,2.0,1.0
136,1460.0,4.21,3.0,0.0
137,1460.0,4.61,2.0,1.0
138,1460.0,4.37,2.0,0.0
139,1470.0,4.3,2.0,0.0
140,1470.0,4.35,2.0,0.0
141,1470.0,4.4,2.0,1.0
142,1470.0,4.27,2.0,0.0
143,1480.0,4.69,3.0,1.0
144,1480.0,4.58,2.0,1.0
145,1480.0,4.49,2.0,1.0
146,1490.0,4.37,2.0,1.0
147,1490.0,4.37,2.0,1.0
148,1490.0,4.37,2.0,1.0
149,1500.0,4.56,2.0,1.0
150,1500.0,4.23,3.0,0.0
151,1510.0,4.73,2.0,1.0
152,1520.0,4.73,2.0,1.0
153,1520.0,4.36,2.0,1.0
154,1520.0,4.51,2.0,1.0
155,1520.0,4.61,2.0,1.0
156,1530.0,4.47,3.0,1.0
157,1530.0,4.54,2.0,1.0
158,1540.0,4.63,2.0,1.0
159,1540.0,4.59,2.0,1.0
160,1540.0,4.59,2.0,1.0
161,1540.0,4.59,2.0,1.0
162,1560.0,4.61,2.0,1.0
163,1560.0,4.73,2.0,1.0
164,1560.0,4.73,2.0,1.0
165,1560.0,4.73,2.0,1.0
166,1570.0,4.63,2.0,1.0
167,1590.0,4.71,2.0,1.0
168,1590.0,4.71,2.0,1.0
