,SAT,GPA,PLAN,ACCEPT
0,960.0,3.58,-1.0,1.0
1,960.0,3.38,3.0,1.0
2,970.0,3.33,3.0,1.0
3,970.0,3.06,3.0,0.0
4,970.0,3.06,3.0,0.0
5,970.0,3.06,3.0,0.0
6,970.0,3.06,3.0,0.0
7,970.0,3.06,3.0,0.0
8,970.0,3.06,3.0,0.0
9,970.0,3.06,3.0,0.0
10,970.0,3.06,3.0,0.0
11,1010.0,3.0,3.0,1.0
12,1020.0,3.25,3.0,1.0
13,1020.0,3.6,-1.0,1.0
14,1030.0,3.11,3.0,1.0
15,1030.0,3.6,3.0,1.0
16,1030.0,3.37,3.0,1.0
17,1030.0,3.46,3.0,1.0
18,1040.0,3.37,3.0,1.0
19,1040.0,3.58,2.0,1.0
20,1050.0,3.51,3.0,1.0
21,1050.0,3.03,3.0,1.0
22,1060.0,3.8,2.0,1.0
23,1060.0,3.53,-1.0,1.0
24,1060.0,3.53,-1.0,1.0
25,1060.0,3.24,2.0,1.0
26,1080.0,3.28,-1.0,1.0
27,1080.0,3.36,3.0,1.0
28,1080.0,3.41,3.0,1.0
29,1080.0,3.11,3.0,1.0
30,1090.0,3.55,3.0,1.0
31,1090.0,3.76,-1.0,1.0
32,1090.0,3.23,3.0,1.0
33,1100.0,3.93,3.0,1.0
34,1100.0,4.08,2.0,1.0
35,1100.0,2.83,3.0,1.0
36,1110.0,3.1,3.0,1.0
37,1110.0,3.51,3.0,1.0
38,1110.0,3.07,3.0,1.0
39,1110.0,3.48,3.0,1.0
40,1110.0,3.48,3.0,1.0
41,1110.0,3.48,3.0,1.0
42,1120.0,3.7,3.0,1.0
43,1120.0,3.79,3.0,1.0
44,1120.0,3.93,3.0,1.0
45,1130.0,3.97,3.0,1.0
46,1130.0,3.42,-1.0,1.0
47,1130.0,3.87,3.0,1.0
48,1140.0,3.68,-1.0,1.0
49,1140.0,3.61,-1.0,1.0
50,1140.0,4.0,-1.0,1.0
51,1140.0,3.58,3.0,1.0
52,1130.0,3.87,3.0,1.0
53,1150.0,3.9,-1.0,1.0
54,1150.0,4.0,2.0,1.0
55,1150.0,3.88,3.0,1.0
56,1150.0,3.53,-1.0,1.0
57,1150.0,3.88,2.0,1.0
58,1160.0,3.73,3.0,1.0
59,1160.0,3.07,3.0,1.0
60,1170.0,2.96,2.0,1.0
61,1170.0,4.02,-1.0,1.0
62,1180.0,3.88,3.0,1.0
63,1180.0,3.32,3.0,1.0
